# BEAST v1.8.2, r6692
# Generated Wed Oct 26 22:09:54 PDT 2016 [seed=1477544985041]
state	posterior	prior	likelihood	geography.clock.rate.exp.mean	geography.clock.rate	geography.rates1	geography.rates2	geography.rates3	geography.rates4	geography.rates5	geography.rates6	geography.rates7	geography.rates8	geography.rates9	geography.rates10	geography.rates11	geography.rates12	geography.rates13	geography.rates14	geography.rates15	geography.rates16	geography.rates17	geography.rates18	geography.rates19	geography.rates20	geography.rates21	geography.rates22	geography.rates23	geography.rates24	geography.rates25	geography.rates26	geography.rates27	geography.rates28	geography.indicators1	geography.indicators2	geography.indicators3	geography.indicators4	geography.indicators5	geography.indicators6	geography.indicators7	geography.indicators8	geography.indicators9	geography.indicators10	geography.indicators11	geography.indicators12	geography.indicators13	geography.indicators14	geography.indicators15	geography.indicators16	geography.indicators17	geography.indicators18	geography.indicators19	geography.indicators20	geography.indicators21	geography.indicators22	geography.indicators23	geography.indicators24	geography.indicators25	geography.indicators26	geography.indicators27	geography.indicators28	geography.nonZeroRates	Current Tree	c_geography.count[1]	c_1-2.count[1]	c_1-3.count[1]	c_1-4.count[1]	c_1-5.count[1]	c_1-6.count[1]	c_1-7.count[1]	c_1-8.count[1]	c_2-1.count[1]	c_2-3.count[1]	c_2-4.count[1]	c_2-5.count[1]	c_2-6.count[1]	c_2-7.count[1]	c_2-8.count[1]	c_3-1.count[1]	c_3-2.count[1]	c_3-4.count[1]	c_3-5.count[1]	c_3-6.count[1]	c_3-7.count[1]	c_3-8.count[1]	c_4-1.count[1]	c_4-2.count[1]	c_4-3.count[1]	c_4-5.count[1]	c_4-6.count[1]	c_4-7.count[1]	c_4-8.count[1]	c_5-1.count[1]	c_5-2.count[1]	c_5-3.count[1]	c_5-4.count[1]	c_5-6.count[1]	c_5-7.count[1]	c_5-8.count[1]	c_6-1.count[1]	c_6-2.count[1]	c_6-3.count[1]	c_6-4.count[1]	c_6-5.count[1]	c_6-7.count[1]	c_6-8.count[1]	c_7-1.count[1]	c_7-2.count[1]	c_7-3.count[1]	c_7-4.count[1]	c_7-5.count[1]	c_7-6.count[1]	c_7-8.count[1]	c_8-1.count[1]	c_8-2.count[1]	c_8-3.count[1]	c_8-4.count[1]	c_8-5.count[1]	c_8-6.count[1]	c_8-7.count[1]
0	-83.19899594444573	-83.1989959444457	-3.0864200084579415E-14	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28.0	1164.0	263.166817582068	1.717443943257645	3.49199148086372	2.587789805989863	2.6134509768643297	1.802619437945382	2.398737411875469	1.601647383007574	0.8504536621368196	0.6117567289012883	0.5635237072164586	1.6189371113541613	0.7436161009235361	0.5343366970835501	0.5641541265765672	1.7713108184742403	0.7259402754182186	1.5530527989484095	2.4708979533623388	1.7672758335501184	1.5079376866115297	0.6574594385638142	36.319923491941125	26.553451788809976	29.998495359004824	27.679455484447196	29.862763835566557	20.41628445402417	25.375590465053133	1.827442022222547	1.6004852161892966	2.538825064557603	0.670119801028949	1.7164924663277177	1.495892915980023	1.5320043793348879	3.7295398031057068	0.7594392901672694	1.5751893965307395	0.6903280340623246	1.611909941647804	0.6611410241323044	3.269964922947631	0.8392508342724339	0.6214321351264224	0.6005539006549807	0.5523208789109012	0.6750507121619288	0.7324132729061255	0.5529512982720183	0.8757598076510744	1.5085854852235616	0.6370628744155313	0.5888298526902107	0.7115596858032834	1.672331465374275	0.5596428425977931
5000	-39.28476732529801	-39.28476732529799	-2.4091839634369355E-14	1.3170561992120937	0.04817796228901019	0.5892095435613701	1.1487664237498008	0.931178994620351	0.27002934071385754	1.5331058143995233	0.3265917560661932	0.3529203880167898	0.4902349297394804	0.201535332586809	1.9569519265697064	0.11513774645820041	0.3162150098210922	1.914126325537733	0.21361405792588664	0.6423326928131918	1.2788588585600758	1.3531449576474397	0.046299185682497544	3.1330601639028037	1.3619723407330404	4.101139603219683	2.615555496539868	2.0612520994471235	4.360373814799111	1.353625387937525	0.7947394740309031	1.5083700637207011	1.2276201862427971	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	8.0	477.0	668.7916496046589	0.0	10.646814351163268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.45602174144276	0.0	0.0	62.593991306087844	0.0	10.646814351163265	0.0	0.0	0.0	0.0	0.0	1.2381144681449037	0.0	5.755309063109709	0.0	103.0316129255807	49.95433410106203	0.0	0.0	0.0	0.0	0.0	101.78792140058603	59.544066881473526	0.0	42.8778214587501	0.0	0.0	0.0	50.3943303983987	71.17144704545659	0.0	0.0	0.0	20.652157306248878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4335010710422999	0.0	35.607391734947676	0.0	0.0
10000	-31.30496100114713	-31.304961001146918	-2.1427304375265594E-13	0.3241571855851719	0.7221575559161544	1.8655216753060968	0.1587315258878504	0.3998685348643691	3.038283949174798	1.26032818254273	0.15039738417225357	2.1043830593489883	0.3263381050592388	0.9726334684090903	0.5603305720160194	0.419868293039592	0.5864084022187913	1.2762962705482648	0.18566309859283936	0.3032833200462843	1.1639979735219164	0.013926178759307418	0.6448298671859702	1.3552841884065006	0.12861608179304945	0.1330706379689812	1.858835567437576	4.1644595958114365	0.5565356819511604	0.21840016486612468	0.14660214949835912	1.6210765694773839	3.378815758188065	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	598.0	18924.66480188124	2065.708309587077	0.0	0.0	3371.1047032487463	0.0	0.0	0.0	2068.7106932788665	0.0	0.0	0.0	464.5750775404877	658.1404021046634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	716.4426774632733	0.0	0.0	0.0	0.0	0.0	143.91726349150466	0.0	3401.9034020052327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	465.3671201316035	0.0	0.0	0.0	0.0	1800.0304504245269	0.0	664.2444262636384	0.0	173.14677322079692	0.0	0.0	0.0	0.0	0.0	837.8565167479497	0.0	0.0	2093.516986372854	0.0
15000	-25.6935407840521	-25.69354078405164	-4.626299343613365E-13	0.9263713724298016	1.3313604947156223	0.5111795390886298	1.465471035624807	0.2419949313186631	0.28107307274956916	0.11791741117252023	0.2916426958069105	2.4769557763611574	1.6891898344541834	0.7324315083847062	0.205796837721602	1.0303112214658117	0.4806456430151554	0.7459208033747571	0.057529760383731955	0.24709467753391948	0.46893476936473966	1.1322869374319997	0.017777202718375806	4.2612341140101675	0.007693355137948269	0.23580936242122857	2.585080840809588	0.6124962115572298	0.2668836912129757	1.0156324530256082	0.07556933667549796	0.06986288501622404	0.6048827340198171	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	434.0	33472.24964394019	0.0	0.0	650.6624949003035	0.0	0.0	784.6060087665335	0.0	0.0	0.0	1943.9786503166783	0.0	2732.780991003038	0.0	1983.949013697683	0.0	0.0	0.0	0.0	0.0	0.0	45.69767249131186	643.8980137142759	1945.6694344930957	0.0	0.0	0.0	0.0	6885.301840142856	0.0	0.0	0.0	0.0	1633.6003816656826	0.0	0.0	0.0	2748.826779436244	0.0	0.0	1667.5467377482428	0.0	0.0	818.8338527885588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2000.6465382294052	48.676528892523216	6937.5747056537775	0.0	0.0	0.0
20000	-35.55396040121773	-35.55396040121735	-3.756994715332131E-13	2.647159888261643	2.087118479792457	2.1514272314461924	0.21364129618686284	0.3383117026943966	1.4900057772355988	2.521199818006582	1.43363784732831	0.761846793735876	2.727218353408824	0.35222138229720346	0.9570685028997021	3.5731396939058473	0.19428800812462696	0.5348215441834328	1.9748884940571045	0.05757149010463897	0.6269113521041585	1.1029864921177357	4.8134344007423483E-4	0.1780343709843411	0.03990532368910067	2.835545960714398	0.5348341471611227	0.16087959348257494	0.11354968293351242	3.5327404612430735	1.3104452620624882	0.4910331775902359	0.16099177397479078	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	855.0	36621.10017015297	4671.64358648864	0.0	0.0	0.0	0.0	0.0	0.0	4669.531365048817	0.0	0.0	0.0	7737.134061806876	419.7136959323899	1155.6489076932082	0.0	0.0	3974.05950214324	0.0	0.0	0.0	1.0035461536166776	0.0	0.0	3974.0595021432414	358.2577881472809	0.0	0.0	0.0	0.0	0.0	0.0	358.2577881472808	0.0	0.0	0.0	0.0	7728.661810571075	0.0	0.0	0.0	0.0	0.0	0.0	418.8084168193027	0.0	0.0	0.0	0.0	0.0	0.0	1153.3162858343921	1.0039132235564567	0.0	0.0	0.0	0.0
25000	-31.25694482273224	-31.256944822732617	3.770317391626943E-13	2.4720857951637236	1.0341985808506708	0.23980700846782943	0.3628882686987498	1.9700110421010217	2.3746444104216358	1.64840565942002	0.4451334825109403	0.5332413652595271	2.743264454500883	0.5752080863464651	0.8475589072696407	2.4714845844647786	0.06817878458083755	0.0535457180718268	0.7724073408881079	0.666526481583118	1.3682266852125677	1.5902160799273704	0.0012846306821960596	0.2756050538978235	0.024715115012201916	0.4530339922128959	0.1586173856112851	2.5745900505834203	0.04121429967765887	0.7404642901856733	1.2286280954593314	2.401044776046594	0.0029261915401539262	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	7.0	1085.0	26600.09339039812	0.0	1109.7836584118288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1734.0502459900288	0.0	0.0	0.0	160.96430208471773	1081.3668706015649	0.0	2318.2846374213564	0.0	0.0	0.0	0.0	0.0	1737.3119262690686	2337.1915486691682	0.0	74.73396365824959	0.0	0.0	0.0	0.0	0.0	0.0	7819.43894617941	124.01051883492846	0.0	0.0	0.0	0.0	75.45318303414604	7750.838215414512	0.0	0.0	0.0	0.0	0.0	0.0	121.0087622084089	0.0	0.0	0.0	155.65661162071046	0.0	0.0	0.0	0.0	0.0
30000	-33.89477195387422	-33.894771953874184	-3.586020369539281E-14	0.9865996796237737	0.5393652401795448	6.887736771896341	0.005818806038089338	0.12928057444729305	2.0852322808954535	0.6597783891511602	2.7111040039120846	2.2923999738182905	0.5758545190341725	1.8091395910706236	1.1535876666879001	0.6092499594106052	0.02089079091682523	0.7319022577626424	0.5800851914054483	2.0247655361262757	1.1144364939099098	1.572986875437176	0.022612462334821278	1.148331286937194	0.03496065199846643	0.517887270241671	0.8230250854069048	0.6609321721161776	0.016836852792689275	0.6773818745397764	0.28633765484626666	0.6472756776121453	1.4631010261859465	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	1673.0	14272.701694279915	0.0	0.0	0.0	0.0	632.2575064197752	0.0	2216.394557472328	0.0	0.0	0.0	1109.0559627560272	0.0	0.0	711.6851621731298	0.0	0.0	0.0	0.0	1035.3464623284433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	533.1396333431535	841.566906844439	0.0	1143.930628992524	0.0	0.0	0.0	0.0	0.0	637.1034091968031	0.0	1073.8067664051098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	554.1906567132836	0.0	0.0	0.0	2243.574297626225	722.9777724075955	0.0	817.6719716010671	0.0	0.0	0.0
35000	-29.67506686419483	-29.67506686419325	-1.5771828287825036E-12	0.9717385273200542	2.6150360480629202	0.7003849111953219	0.001055689687583686	0.04446232006037464	2.4050658770998443	0.15091947167672	0.26238244223248763	1.7104523622156977	0.23258314365692806	0.011633658705400568	3.5111684483922905	0.13236403210854994	0.24593257795334128	0.6345537738314125	1.8811152120079013	2.0405764509537097	0.19491814836791485	1.2585726558529866	0.689179090836211	1.045876460041092	0.3995938661009165	0.23775594844203168	2.1075175164085533	1.5305945184569627	0.06122939870714827	0.23633252117150044	0.6213913521263158	0.8997255520044557	0.25551401723174455	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	9.0	1997.0	75815.7865434827	0.0	0.0	0.0	0.0	695.6123570883387	0.0	0.0	0.0	1073.3772789596028	0.0	16191.867033198838	0.0	1137.723078685789	2927.370332840083	0.0	1076.3695849101468	0.0	0.0	0.0	5832.357011159755	0.0	0.0	0.0	0.0	4829.6508490231845	0.0	0.0	0.0	0.0	16187.36780913333	0.0	4829.964442454583	0.0	0.0	1088.3630090290962	699.6891431454028	0.0	0.0	0.0	0.0	0.0	4164.917740353301	0.0	1132.2009893687232	5786.7633573588	0.0	0.0	0.0	0.0	0.0	2924.994856788343	0.0	0.0	1088.6453704179687	4148.552299567337	0.0
40000	-35.46209152018933	-35.462091520187464	-1.870170684981079E-12	2.8751776823156563	3.6370480196366293	1.741486469982051	3.86334052245617E-4	1.353081481738476	0.5506070492507457	0.16869285660419858	0.5906148026559288	1.6820777557074842	0.14168094498225398	0.40134123797871774	0.12730913036038333	0.3633671267992468	0.2154535186386521	0.275933781950045	2.0290217280207927	0.9374494401927713	0.14710268692135478	0.6949214864784247	0.2665532509116557	0.8850206143911891	0.5023400145901706	0.651655538577903	5.720711268587925	1.8177715556988971	0.8049329029274495	2.5457248119381557	2.2229558516460886	1.1493054412067785	0.14959114679962499	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	9.0	1868.0	101377.09608505217	0.0	0.0	12147.59191496475	4943.5347528061675	1515.6822492213348	0.0	15110.233358516636	0.0	1274.8948558777115	3603.299262822957	0.0	0.0	0.0	2480.1815574999746	0.0	1275.096215232128	0.0	0.0	0.0	0.0	2398.80694643504	12138.243976157448	3604.560552828875	0.0	0.0	0.0	0.0	0.0	4940.961051669961	0.0	0.0	0.0	0.0	7228.38001012257	0.0	1515.1296710912347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7232.213651556962	0.0	0.0	15092.089668783861	2479.267337050624	2396.929052413814	0.0	0.0	0.0	0.0
45000	-36.72469447840269	-36.724694478402476	-2.1393997684529712E-13	2.7427344004588954	1.3786084346406329	1.6123337845822834	7.241263716863029E-4	2.209131157799567	0.07832043380900641	0.13929113744830485	1.1718514549728762	0.09905766824587336	0.2365008642230642	0.8556199224142872	0.9150192537480817	4.152052968359977	0.8259982856658866	0.2813578822931857	0.7988202884816763	0.7705151275021156	0.7933850966375557	0.6238698185735434	3.4634214551052507	2.1515002383024755	0.03335959415314879	0.010120356731731962	2.9010977817469454	1.6439470959003215	0.2847638217333645	3.359798647244978	0.29352062099475057	0.19770382201808342	1.4555727185354497	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	8.0	978.0	38493.92079054212	0.0	1.9420786929797895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2500.4822631078364	0.0	0.0	0.0	1.9476504666051462	0.0	0.0	2109.1031856681097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.492420220683183	0.0	0.0	2492.1716626213133	2105.5283976641663	0.0	0.0	0.0	9231.79021948744	0.0	0.0	0.0	0.0	0.0	815.3786748304625	550.2362162934669	0.0	0.0	0.0	27.74089610616842	0.0	809.0338298189571	4029.2585070306254	0.0	0.0	0.0	0.0	9224.939082816507	544.7171315770452	4020.1585741397457
