taxon_id,geography,date
96CG11,Brazzaville,1996
96CG12,Brazzaville,1996
96CG13,Brazzaville,1996
96CG14,Brazzaville,1996
96CG17,Brazzaville,1996
96CG16,Brazzaville,1996
96CG21,PointeNoire,1996
96CG27,PointeNoire,1996
96CG22a,PointeNoire,1996
96CG22b,PointeNoire,1996
96CG23,PointeNoire,1996
96CG24,PointeNoire,1996
97CG152,Brazzaville,1996
97CG257,Brazzaville,1996
97CG275,PointeNoire,1997
97CG276,PointeNoire,1997
97CG281,PointeNoire,1997
97CG282,PointeNoire,1997
97CG284,PointeNoire,1997
97CG305,PointeNoire,1997
97CG307,PointeNoire,1997
97CG311,PointeNoire,1997
97CG313,PointeNoire,1997
97CG314,PointeNoire,1997
97CG315,PointeNoire,1997
97CG316,PointeNoire,1997
96CG39,PointeNoire,1996
96CG34,PointeNoire,1996
96CG38,PointeNoire,1996
96CG30,PointeNoire,1996
98CG914,Brazzaville,1998
98CG897,Brazzaville,1998
98CG918,Brazzaville,1998
98CG912,Brazzaville,1998
98CG910,Brazzaville,1998
98CG908,Brazzaville,1998
98CG905,Brazzaville,1998
98CG904,Brazzaville,1998
98CG900,Brazzaville,1998
98CG899,Brazzaville,1998
98CG896,Brazzaville,1998
98CG895,Brazzaville,1998
98CG893,Brazzaville,1998
98CG887,Brazzaville,1998
98CG879,Brazzaville,1998
98CG877,Brazzaville,1998
98CG874,Brazzaville,1998
98CG869,Brazzaville,1998
98CG867,Brazzaville,1998
98CG861,Brazzaville,1998
98CG859,Brazzaville,1998
98CG858,Brazzaville,1998
98CG853,Brazzaville,1998
98CG922,Brazzaville,1998
EQFE10t11s97,Bwamanda,1997
EQS13tAs97,Bwamanda,1997
EQS15tAs97,Bwamanda,1997
EQS36tAs97,Bwamanda,1997
EQS48tAs97,Bwamanda,1997
EQTB35t11s97,Bwamanda,1997
EQTB38tAs97,Bwamanda,1997
EQTB3tAs97,Bwamanda,1997
EQTB40tAs97,Bwamanda,1997
EQTB46tAs97,Bwamanda,1997
EQTB54tAs97,Bwamanda,1997
EQTB58tAs97,Bwamanda,1997
EQTB66t11s97,Bwamanda,1997
EQTB69tAs97,Bwamanda,1997
EQTB81tAs97,Bwamanda,1997
EQTB9tAs97,Bwamanda,1997
K30008s85,Kinshasa,1985
K30042s85,Kinshasa,1985
K30084s85,Kinshasa,1985
K30104s85,Kinshasa,1985
K30105s85,Kinshasa,1985
K30109s85,Kinshasa,1985
K30326s85,Kinshasa,1985
K30432s85,Kinshasa,1985
K30487s85,Kinshasa,1985
K30582s85,Kinshasa,1985
K30620s85,Kinshasa,1985
K30639s85,Kinshasa,1985
K30691s85,Kinshasa,1985
K30750s85,Kinshasa,1985
K30793s85,Kinshasa,1985
K30812s85,Kinshasa,1985
K30858s85,Kinshasa,1985
K30871s85,Kinshasa,1985
K30873s85,Kinshasa,1985
K30884s85,Kinshasa,1985
K31149s85,Kinshasa,1985
K31166s85,Kinshasa,1985
K31184s85,Kinshasa,1985
K31194s85,Kinshasa,1985
K31195s85,Kinshasa,1985
K31252s85,Kinshasa,1985
K31265s85,Kinshasa,1985
K31331s85,Kinshasa,1985
K31335s85,Kinshasa,1985
K31343s85,Kinshasa,1985
K31496s85,Kinshasa,1985
K31533s85,Kinshasa,1985
K31602s85,Kinshasa,1985
K31648s85,Kinshasa,1985
K31688s85,Kinshasa,1985
K31821s85,Kinshasa,1985
K31857s85,Kinshasa,1985
K31886s85,Kinshasa,1985
K31899s85,Kinshasa,1985
K31917s85,Kinshasa,1985
K31978s85,Kinshasa,1985
K32042s85,Kinshasa,1985
K32047s85,Kinshasa,1985
K32051s85,Kinshasa,1985
K32130s85,Kinshasa,1985
K32154s85,Kinshasa,1985
K32170s85,Kinshasa,1985
K32253s85,Kinshasa,1985
K32290s85,Kinshasa,1985
KBS154tF1s02,Kinshasa,2002
KBS187tHs02,Kinshasa,2002
KBS271tAs02,Kinshasa,2002
KBS292tAs02,Kinshasa,2002
KDS72tAs97,Kinshasa,1997
KFE010tAs02,Kinshasa,2002
KFE068tUs02,Kinshasa,2002
KFE071tAs02,Kinshasa,2002
KIST016tGs02,Kinshasa,2002
KIST028tAs02,Kinshasa,2002
KIST032tGs02,Kinshasa,2002
KIST040tKs02,Kinshasa,2002
KIST046tGs02,Kinshasa,2002
KIST061tHs02,Kinshasa,2002
KIST069tAs02,Kinshasa,2002
KIST081tHs02,Kinshasa,2002
KIST103tDs02,Kinshasa,2002
KIST104tCs02,Kinshasa,2002
KIST121tJs02,Kinshasa,2002
KIST132tDs02,Kinshasa,2002
KMST49tAs97,Kinshasa,1997
KMST8t02s97,Kinshasa,1997
KP009tUs02,Kinshasa,2002
